Date,Workout Name,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes
2017-05-12 19:00:00,"Afternoon Workout","Bench Press (Barbell)",1,50,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Bench Press (Barbell)",2,50,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Bench Press (Barbell)",3,50,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Lying Leg Curl (Machine)",1,45,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Lying Leg Curl (Machine)",2,45,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Lying Leg Curl (Machine)",3,45,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Shoulder Press (Machine)",1,20,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Shoulder Press (Machine)",2,20,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Shoulder Press (Machine)",3,20,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Squat (Smith Machine)",1,60,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Squat (Smith Machine)",2,60,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Squat (Smith Machine)",3,60,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Leg Press",1,110,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Leg Press",2,110,10,0,0,"",""
2017-05-12 19:00:00,"Afternoon Workout","Leg Press",3,110,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Bench Press (Barbell)",1,65,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Bench Press (Barbell)",2,65,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Bench Press (Barbell)",3,65,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Lying Leg Curl (Machine)",1,50,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Lying Leg Curl (Machine)",2,50,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Lying Leg Curl (Machine)",3,50,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Chin Up (Assisted)",1,49,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Chin Up (Assisted)",2,49,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Chin Up (Assisted)",3,42,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Triceps Extension",1,17.5,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Triceps Extension",2,17.5,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Triceps Extension",3,17.5,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Leg Press",1,120,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Leg Press",2,120,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Leg Press",3,120,10,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Total Abdominal ",1,60,20,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Total Abdominal ",2,60,20,0,0,"",""
2017-06-26 17:00:00,"Afternoon Workout","Total Abdominal ",3,60,20,0,0,"",""
2018-01-08 19:36:24,"Evening Workout","Decline Bench Press (Barbell)",1,70,13,0,0,"",""
2018-01-08 19:36:24,"Evening Workout","Decline Bench Press (Barbell)",2,70,10,0,0,"",""
2018-01-08 19:36:24,"Evening Workout","Decline Bench Press (Barbell)",3,70,10,0,0,"",""
2018-01-08 19:36:24,"Evening Workout","Flat Leg Raise",1,0,15,0,0,"",""
2018-01-08 19:36:24,"Evening Workout","Flat Leg Raise",2,0,15,0,0,"",""
2018-01-08 19:36:24,"Evening Workout","Flat Leg Raise",3,0,15,0,0,"",""
2018-01-08 19:36:24,"Evening Workout","Bent Over Row (Barbell)",1,15,10,0,0,"",""
2018-01-08 19:36:24,"Evening Workout","Bent Over Row (Barbell)",2,30,12,0,0,"",""
